N,Calculation,Baseline,calculation_memory,total_memory,time for 1 frequency
2,D,21756,6296,28052,0.005127 s
2,D,21856,6212,28068,0.005171 s
2,D,21744,6172,27916,0.005292 s
2,D,21852,6220,28072,0.004939 s
2,D,21836,5936,27772,0.005973 s
2,I,21784,6176,27960,0.004929 s
2,I,21860,5944,27804,0.005217 s
2,I,21740,6240,27980,0.004977 s
2,I,21884,6360,28244,0.004749 s
2,I,21724,6468,28192,0.005571 s
16,D,21740,7016,28756,0.032395 s
16,D,21828,7732,29560,0.048909 s
16,D,21792,7852,29644,0.033447 s
16,D,21832,7916,29748,0.031546 s
16,D,21760,7788,29548,0.058118 s
16,I,21936,6196,28132,0.006620 s
16,I,21856,6420,28276,0.006405 s
16,I,21820,6380,28200,0.006260 s
16,I,21852,6572,28424,0.006018 s
16,I,21796,6572,28368,0.007267 s
72,D,21836,19204,41040,0.178746 s
72,D,21900,18864,40764,0.151232 s
72,D,21792,18832,40624,0.145540 s
72,D,21796,20092,41888,0.135514 s
72,D,21880,19692,41572,0.134621 s
72,I,21880,9456,31336,0.028411 s
72,I,21864,9380,31244,0.028090 s
72,I,21872,9268,31140,0.023649 s
72,I,21884,9640,31524,0.030460 s
72,I,21852,9640,31492,0.032487 s
128,D,21852,34772,56624,0.288653 s
128,D,21852,34824,56676,0.281062 s
128,D,21728,34700,56428,0.289361 s
128,D,21796,34520,56316,0.307643 s
128,D,21832,34012,55844,0.301777 s
128,I,21792,16136,37928,0.085897 s
128,I,21784,15528,37312,0.087508 s
128,I,21752,16188,37940,0.081320 s
128,I,21880,15548,37428,0.081588 s
128,I,21784,15876,37660,0.081531 s
1024,I,21872,604588,626460,32.524801 s
1024,I,21940,604260,626200,32.506996 s
1024,I,21864,604680,626544,32.589647 s
1024,I,21792,604592,626384,32.489463 s
1024,I,21796,604576,626372,32.475931 s
2000,I,21784,2287776,2309560,237.558090 s
2000,I,21724,2287880,2309604,237.410108 s
2000,I,21784,2287764,2309548,239.102860 s
2000,I,21900,2287616,2309516,238.293431 s
2000,I,21860,2287488,2309348,235.033971 s
