N,Calculation,Baseline,Matrices_memory,calculation_memory,total_memory
2,D,21788,916,5244,27948
2,D,21784,928,5540,28252
2,D,21864,848,5236,27948
2,D,21852,844,5364,28060
2,D,21792,836,5436,28064
2,I,21792,836,5436,28064
2,I,21784,928,5540,28252
2,I,21836,784,5144,27764
2,I,21800,852,5432,28084
2,I,21784,928,5540,28252
16,I,21852,992,5548,28392
16,I,21848,944,5384,28176
16,I,21800,880,5468,28148
16,I,21864,744,5376,27984
16,I,21896,944,5364,28204
16,D,21872,880,7028,29780
16,D,21832,796,6980,29608
16,D,21832,796,6976,29604
16,D,21832,796,6672,29300
16,D,21852,992,7096,29940
128,D,21896,8080,23852,53828
128,D,21844,7880,23948,53672
128,D,21896,8080,23980,53956
128,D,21884,8044,23828,53756
128,D,21792,7988,24208,53988
128,I,21792,8000,10268,40060
128,I,21828,7904,10604,40336
128,I,21860,7992,10536,40388
128,I,21940,7884,10252,40076
128,I,21896,8080,9848,39824
1024,D,21864,451552,691052,1164468
1024,D,21896,451636,684496,1158028
1024,D,21868,451572,684424,1157864
1024,D,21884,451600,687736,1161220
1024,D,21852,451684,690720,1164256
1024,I,21852,451460,300576,773888
1024,I,21728,451660,300416,773804
1024,I,21788,451544,300488,773820
1024,I,21860,451436,300352,773648
1024,I,21852,451684,300524,774060
8192,D,21892,28837368,37958164,66817424
8192,D,21788,28837388,37959380,66818556
8192,D,21872,28837304,37958644,66817820
8192,D,21940,28837172,37957136,66816248
8192,D,21724,28837468,37958840,66818032
8192,I,21792,28837328,18879712,47738832
8192,I,21856,28837416,18879484,47738756
8192,I,21836,28837416,18879484,47738736
8192,I,21864,28837284,18879428,47738576
8192,I,21848,28837232,18879636,47738716
2000,D,21792,1719696,2365444,4106932
2000,D,21880,1719752,2365708,4107340
2000,D,21788,1719696,2365896,4107380
2000,D,21860,1719588,2364880,4106328
2000,D,21836,1719640,2365420,4106896
2000,I,21784,1719772,1130496,2872052
2000,I,21724,1719844,1130516,2872084
2000,I,21860,1719704,1130340,2871904
2000,I,21808,1719784,1130472,2872064
2000,I,21880,1719752,1130176,2871808
3456,D,21832,5133304,6866408,12021544
3456,D,21792,5133164,6869716,12024672
3456,D,21868,5133192,6866684,12021744
3456,D,21896,5133256,6865044,12020196
3456,D,21848,5133304,6867776,12022928
11664,I,21752,58459968,38269328,96751048
11664,I,21860,58459780,38269364,96751004
11664,I,21792,58459892,38269524,96751208
11664,I,21752,58459892,38269564,96751208
